 table_name | shardid |   shard_name    | citus_table_type | colocation_id | nodename  | nodeport | shard_size 
 lineitem   |  102025 | lineitem_102025 | distributed      |             1 | localhost |     5432 |   29130752
 lineitem   |  102026 | lineitem_102026 | distributed      |             1 | localhost |     5432 |   29261824
 lineitem   |  102027 | lineitem_102027 | distributed      |             1 | localhost |     5432 |   29032448
 lineitem   |  102028 | lineitem_102028 | distributed      |             1 | localhost |     5432 |   29065216
 lineitem   |  102029 | lineitem_102029 | distributed      |             1 | localhost |     5432 |   29245440
 lineitem   |  102030 | lineitem_102030 | distributed      |             1 | localhost |     5432 |   29097984
 lineitem   |  102031 | lineitem_102031 | distributed      |             1 | localhost |     5432 |   28966912
 lineitem   |  102032 | lineitem_102032 | distributed      |             1 | localhost |     5432 |   29057024
 lineitem   |  102033 | lineitem_102033 | distributed      |             1 | localhost |     5432 |   29081600
 lineitem   |  102034 | lineitem_102034 | distributed      |             1 | localhost |     5432 |   28770304
 lineitem   |  102035 | lineitem_102035 | distributed      |             1 | localhost |     5432 |   29097984
 lineitem   |  102036 | lineitem_102036 | distributed      |             1 | localhost |     5432 |   29474816
 lineitem   |  102037 | lineitem_102037 | distributed      |             1 | localhost |     5432 |   29245440
 lineitem   |  102038 | lineitem_102038 | distributed      |             1 | localhost |     5432 |   29179904
 lineitem   |  102039 | lineitem_102039 | distributed      |             1 | localhost |     5432 |   29261824
 nation     |  102168 | nation_102168   | reference        |             2 | localhost |     5432 |       8192
 orders     |  102040 | orders_102040   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102041 | orders_102041   | distributed      |             1 | localhost |     5432 |    6701056
 orders     |  102042 | orders_102042   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102043 | orders_102043   | distributed      |             1 | localhost |     5432 |    6881280
 orders     |  102044 | orders_102044   | distributed      |             1 | localhost |     5432 |    7143424
 orders     |  102045 | orders_102045   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102046 | orders_102046   | distributed      |             1 | localhost |     5432 |    6815744
 orders     |  102047 | orders_102047   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102048 | orders_102048   | distributed      |             1 | localhost |     5432 |    6848512
 orders     |  102049 | orders_102049   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102050 | orders_102050   | distributed      |             1 | localhost |     5432 |    6815744
 orders     |  102051 | orders_102051   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102052 | orders_102052   | distributed      |             1 | localhost |     5432 |    6782976
 orders     |  102053 | orders_102053   | distributed      |             1 | localhost |     5432 |    6750208
 orders     |  102054 | orders_102054   | distributed      |             1 | localhost |     5432 |    6692864
 orders     |  102055 | orders_102055   | distributed      |             1 | localhost |     5432 |    6782976
 orders     |  102056 | orders_102056   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102057 | orders_102057   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102058 | orders_102058   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102059 | orders_102059   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102060 | orders_102060   | distributed      |             1 | localhost |     5432 |    6848512
 orders     |  102061 | orders_102061   | distributed      |             1 | localhost |     5432 |    6930432
 orders     |  102062 | orders_102062   | distributed      |             1 | localhost |     5432 |    6717440
 orders     |  102063 | orders_102063   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102064 | orders_102064   | distributed      |             1 | localhost |     5432 |    6979584
 orders     |  102065 | orders_102065   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102066 | orders_102066   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102067 | orders_102067   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102068 | orders_102068   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102069 | orders_102069   | distributed      |             1 | localhost |     5432 |    6914048
 orders     |  102070 | orders_102070   | distributed      |             1 | localhost |     5432 |    6979584
 orders     |  102071 | orders_102071   | distributed      |             1 | localhost |     5432 |    6709248
 part       |  102104 | part_102104     | distributed      |             1 | localhost |     5432 |    1081344
 part       |  102105 | part_102105     | distributed      |             1 | localhost |     5432 |    1081344
 part       |  102106 | part_102106     | distributed      |             1 | localhost |     5432 |    1089536
 part       |  102107 | part_102107     | distributed      |             1 | localhost |     5432 |    1114112
 part       |  102108 | part_102108     | distributed      |             1 | localhost |     5432 |    1089536
 part       |  102109 | part_102109     | distributed      |             1 | localhost |     5432 |    1089536
 part       |  102110 | part_102110     | distributed      |             1 | localhost |     5432 |    1073152
 part       |  102111 | part_102111     | distributed      |             1 | localhost |     5432 |    1081344
 part       |  102112 | part_102112     | distributed      |             1 | localhost |     5432 |    1097728
 part       |  102113 | part_102113     | distributed      |             1 | localhost |     5432 |    1089536
 part       |  102114 | part_102114     | distributed      |             1 | localhost |     5432 |    1081344
 part       |  102115 | part_102115     | distributed      |             1 | localhost |     5432 |    1081344
 part       |  102116 | part_102116     | distributed      |             1 | localhost |     5432 |    1081344
 part       |  102117 | part_102117     | distributed      |             1 | localhost |     5432 |    1089536
 part       |  102118 | part_102118     | distributed      |             1 | localhost |     5432 |    1081344
 part       |  102119 | part_102119     | distributed      |             1 | localhost |     5432 |    1097728
 part       |  102120 | part_102120     | distributed      |             1 | localhost |     5432 |    1089536
 part       |  102121 | part_102121     | distributed      |             1 | localhost |     5432 |    1073152
 part       |  102122 | part_102122     | distributed      |             1 | localhost |     5432 |    1073152
 part       |  102123 | part_102123     | distributed      |             1 | localhost |     5432 |    1089536
 part       |  102124 | part_102124     | distributed      |             1 | localhost |     5432 |    1081344
 part       |  102125 | part_102125     | distributed      |             1 | localhost |     5432 |    1097728
 part       |  102126 | part_102126     | distributed      |             1 | localhost |     5432 |    1089536
 part       |  102127 | part_102127     | distributed      |             1 | localhost |     5432 |    1081344
 part       |  102128 | part_102128     | distributed      |             1 | localhost |     5432 |    1048576
 part       |  102129 | part_102129     | distributed      |             1 | localhost |     5432 |    1105920
 part       |  102130 | part_102130     | distributed      |             1 | localhost |     5432 |    1081344
 part       |  102131 | part_102131     | distributed      |             1 | localhost |     5432 |    1097728
 part       |  102132 | part_102132     | distributed      |             1 | localhost |     5432 |    1097728
 part       |  102133 | part_102133     | distributed      |             1 | localhost |     5432 |    1073152
 part       |  102134 | part_102134     | distributed      |             1 | localhost |     5432 |    1081344
 part       |  102135 | part_102135     | distributed      |             1 | localhost |     5432 |    1081344
 partsupp   |  102171 | partsupp_102171 | distributed      |             1 | localhost |     5432 |    4497408
 partsupp   |  102172 | partsupp_102172 | distributed      |             1 | localhost |     5432 |    4513792
 partsupp   |  102173 | partsupp_102173 | distributed      |             1 | localhost |     5432 |    4530176
 partsupp   |  102174 | partsupp_102174 | distributed      |             1 | localhost |     5432 |    4636672
 partsupp   |  102175 | partsupp_102175 | distributed      |             1 | localhost |     5432 |    4546560
 partsupp   |  102176 | partsupp_102176 | distributed      |             1 | localhost |     5432 |    4513792
 partsupp   |  102177 | partsupp_102177 | distributed      |             1 | localhost |     5432 |    4481024
 partsupp   |  102178 | partsupp_102178 | distributed      |             1 | localhost |     5432 |    4505600
 partsupp   |  102179 | partsupp_102179 | distributed      |             1 | localhost |     5432 |    4554752
 partsupp   |  102180 | partsupp_102180 | distributed      |             1 | localhost |     5432 |    4513792
 partsupp   |  102181 | partsupp_102181 | distributed      |             1 | localhost |     5432 |    4538368
 partsupp   |  102182 | partsupp_102182 | distributed      |             1 | localhost |     5432 |    4505600
 partsupp   |  102183 | partsupp_102183 | distributed      |             1 | localhost |     5432 |    4505600
 partsupp   |  102184 | partsupp_102184 | distributed      |             1 | localhost |     5432 |    4538368
 partsupp   |  102185 | partsupp_102185 | distributed      |             1 | localhost |     5432 |    4489216
 partsupp   |  102186 | partsupp_102186 | distributed      |             1 | localhost |     5432 |    4653056
 partsupp   |  102187 | partsupp_102187 | distributed      |             1 | localhost |     5432 |    4554752
 partsupp   |  102188 | partsupp_102188 | distributed      |             1 | localhost |     5432 |    4489216
 partsupp   |  102189 | partsupp_102189 | distributed      |             1 | localhost |     5432 |    4464640
 partsupp   |  102190 | partsupp_102190 | distributed      |             1 | localhost |     5432 |    4530176
 partsupp   |  102191 | partsupp_102191 | distributed      |             1 | localhost |     5432 |    4513792
 partsupp   |  102192 | partsupp_102192 | distributed      |             1 | localhost |     5432 |    4538368
 partsupp   |  102193 | partsupp_102193 | distributed      |             1 | localhost |     5432 |    4562944
 partsupp   |  102194 | partsupp_102194 | distributed      |             1 | localhost |     5432 |    4513792
 partsupp   |  102195 | partsupp_102195 | distributed      |             1 | localhost |     5432 |    4423680
 partsupp   |  102196 | partsupp_102196 | distributed      |             1 | localhost |     5432 |    4603904
 partsupp   |  102197 | partsupp_102197 | distributed      |             1 | localhost |     5432 |    4505600
 partsupp   |  102198 | partsupp_102198 | distributed      |             1 | localhost |     5432 |    4562944
 partsupp   |  102199 | partsupp_102199 | distributed      |             1 | localhost |     5432 |    4562944
 partsupp   |  102200 | partsupp_102200 | distributed      |             1 | localhost |     5432 |    4472832
 partsupp   |  102201 | partsupp_102201 | distributed      |             1 | localhost |     5432 |    4505600
 partsupp   |  102202 | partsupp_102202 | distributed      |             1 | localhost |     5432 |    4513792
 region     |  102169 | region_102169   | reference        |             2 | localhost |     5432 |       8192
 supplier   |  102170 | supplier_102170 | reference        |             2 | localhost |     5432 |    1859584
(163 filas)

